,ID_Composant,REF,DESCRIPTION,FAMILLE,S_FAMILLE,GAMME,MODELE,HSP,MARQUE,NATURE,FONCTION,TYPE_EQP,PUHT,NBU,DOS_IMG,DOS_DOC,FIC_IMG,FIC_DOC,MODULE,NBPORTS,EQP,INFOTEL _Role,INFOTEL_Famille,INFOTEL_Composante,INFOTEL_Nomenclature,ACTIF,DATE_CREATION,INFOTEL_Carte_Nomenclature,OS
126,8DG59429AA,DMSMF070,DCM - SMF 70km,WDM,PSS,1830,DMSMF070,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,536,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
127,8DG59430AA,DMSMF080,DCM - SMF 80km,WDM,PSS,1830,DMSMF080,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,535,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
128,8DG59431AA,DMSMF090,DCM - SMF 90km,WDM,PSS,1830,DMSMF090,HARDWARE,ALCATEL-LUCENT,CARTE,DISPERSION COMPENSATION MODULES,PSS,570,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
129,8DG59432AA,8DG59432AA,DCM - SMF 100KM,WDM,PSS,1830,DMSMF100,HARDWARE,ALCATEL-LUCENT,CARTE,DCM_SMF_100,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
130,8DG59433AA,8DG59433AA,DCM - SMF 110KM,WDM,PSS,1830,DMSMF110,HARDWARE,ALCATEL-LUCENT,CARTE,DCM_SMF_110,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
131,8DG59437AG,8DG59437AG,STATIC FILTER DWDM 5 CHANNEL (G,WDM,PSS,1830,STATIC_FILTER,HARDWARE,ALCATEL-LUCENT,CARTE,STATIC_FILTER,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
132,8DG59499AA,8DG59499AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
133,8DG59501AA,8DG59501AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
134,8DG59605AB,1830PSS-32,"Main Shelf Kit PSS-32, High Capacity Fan (incl. COSHF, USRPNL, FAN32H, TIBNKx2)",WDM,PSS,1830,1830PSS-32,HARDWARE,ALCATEL-LUCENT,CHASSIS,COMMONS,PSS,2105,,,,,,PSS32 Main Shelf Kit (incl. EOSHF + fan + UP),,1.0,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,v9.0.2
135,8DG59750AB,8DG59750AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
136,8DG59776AB,8DG59776AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
137,8DG59828AA,11DPM12,11G Dual Port Pluggable Multirate Mux (12 universal clients),WDM,PSS,1830,11DPM12,HARDWARE,ALCATEL-LUCENT,CARTE,OPTICAL TRANSPONDERS AND UPLINK,PSS,3464,1.0,1.0,,8DG59828AA.png,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
138,8DG59859AA,8DG59859AA,END OFFICE SHELF RSA,WDM,PSS,1830,,HARDWARE,ALCATEL-LUCENT,MODULE,,PSS,0,,,,,,,,,,,,,False,,,
139,8DG59912AA,8DG59912AA,FAN UNIT PSS-16,WDM,PSS,1830,FAN_PSS-16,HARDWARE,ALCATEL-LUCENT,MODULE,VENTILATION,PSS,0,,,,,,FAN UNIT PSS-16,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
140,8DG59945AA,AHPLG,High Power Low Gain DWDM Amplifier,WDM,PSS,1830,AHPLG,HARDWARE,ALCATEL-LUCENT,CARTE,AMPLIFIERS,PSS,4185,1.0,1.0,,8DG59945AA.png,,,,,NoAXE,DWDM Multiplexer,W,AMPLIFIERS,False,,,
141,8DG59945AB,8DG59945AB,AHPLG - HPOWER LGAIN DWDM AMPLIFIER,WDM,PSS,1830,AHPLG,HARDWARE,ALCATEL-LUCENT,CARTE,AMPLIFIERS,PSS,0,1.0,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
142,8DG60071AA,8DG60071AA,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
143,8DG60093AB,8DG60093AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
144,8DG60094AA,8DG60094AA,USER INTERFACE CARD PSS-16,WDM,PSS,1830,UI_PSS16,HARDWARE,ALCATEL-LUCENT,CARTE,UI_PSS16,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
145,8DG60174AB,8DG60174AB,# ERREUR PN de circuit imprimés ou composants inclus à l’intérieur des cartes,WDM,PSS,1830,,,ALCATEL-LUCENT,,,PSS,0,,,,,,,,,,,,,False,,,
146,8DG60175BA,PFDC20K,PSS-16 DC PF Managed (20A) w/V Monitoring,WDM,PSS,1830,PFDC20K,HARDWARE,ALCATEL-LUCENT,CARTE,COMMONS,PSS,316,1.0,1.0,,8DG60175BA.png,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
147,8DG60210AC,SFD8C,Static Filter DWDM 8 Channel (C Variant),WDM,PSS,1830,SFD8C,HARDWARE,ALCATEL-LUCENT,ACCESSOIRE,STATIC FILTER,PSS,0,,1.0,,,,,,,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,
148,8DG60210AD,SFD8D,Static Filter DWDM 8 Channel (D Variant),WDM,PSS,1830,SFD8D,HARDWARE,ALCATEL-LUCENT,CARTE,FILTERS,PSS,1446,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
149,8DG60242AB,8DG60242AB,A2325A - 23DBM VGAIN AMP W/ DCM ACCESS,WDM,PSS,1830,A2325A,HARDWARE,ALCATEL-LUCENT,CARTE,A2325A,PSS,0,,,,,,,,,NoAXE,DWDM Multiplexer,W,TELECOM,False,,,
150,8DG60273AA,1830PSS-16,PSS16 Main Shelf Kit (incl. EOSHF + fan + UP),WDM,PSS,1830,1830PSS-16,HARDWARE,ALCATEL-LUCENT,CHASSIS,COMMONS,PSS,1337,8.0,1.0,2.0,8DG60273AA.png,,PSS16 Main Shelf Kit (incl. EOSHF + fan + UP),,1.0,NoAXE,DWDM Multiplexer,W,INUIT-WDM,False,,,v9.0.2
