,ID_EQP,ID_Composant,CODNAT,MODELE,LG,RESERVE,INFOTEL,ORDRE,DOMAINE,TYPE,HOSTNAME,AXE_WDM,DATE_CREATION,USER,Localisation_CUR,Equipement_CUR,OS,Type2
5382,MASQU-FED2,CGS-2520-16S-8PC,MASQU,CGS2520-16S,37.0,,E-CGS2520-16S-009002,9002.0,LAN,FED2,E-MASQU-LAN-FED2-009002,,2022-07-19 23:47:11,,,F252C2A04B28434CBC84C7EBBCC22322,Version 15.2(3)E1,FED2
5383,MASQU-AP1,AIR-AP1832I-E-K9,MASQU,AP 1832I,51.0,,E-AP 1832I-005401,5401.0,LAN,AP1,E-MASQU-LAN-WAP01-005401,,2022-07-19 23:47:11,,,E729E6A7A41A49D289DD5D155A57E84E,,AP1
5384,MASQU-CPE1,LBB210,MASQU,RTR OPERE,55.0,,E-RTR OPERE-008621,8621.0,WOP,CPE1,E-MASQU-WOP-CPE1-008621,,2022-07-19 23:47:11,,,CCB497D12F1A4FBB8E841CD14D71AF61,,CPE1
5385,MASQU-OND1,INF-OND-1200,MASQU,AXILEK-OND230V,56.0,,E-AXILEK-OND230V-004288,4288.0,AES,OND1,E-MASQU-AES-OND1-004288,,2022-07-19 23:47:11,,,,,OND1
5386,MASQU-RED1,INF-AES-1200,MASQU,ELTEK-RED48V,57.0,,E-ELTEK-RED48V-067821,67821.0,AES,RED1,E-MASQU-AES-RED1-067821,,2022-07-19 23:47:11,,,6465403C5A5E4F35A394D36933757A55,Eltek ferme dՎnergie (220->48) Eltek Minipack PS Systems 48V (Ref.constructeur : CTOM0602.000 / OS = 2.5.3),RED1
5387,LICES-CPE2,LBB320,LICES,RTR OPERE,14.0,,E-RTR OPERE-008631,8631.0,WOP,CPE2,E-LICES-WOP-CPE2-008631,,2020-09-14 10:09:40,,,5405EDED8DD54743B18E6E86C33791FC,,CPE2
5388,LICES-AP1,AIR-AP1832I-E-K9,LICES,AP 1832I,15.0,,E-AP 1832I-005414,5414.0,LAN,AP1,E-LICES-LAN-WAP01-005414,,2020-09-14 10:09:40,,,41B9564F2BF444909742F8684B1F4908,,AP1
5389,UNET-FED1,CGS-2520-16S-8PC,UNET,CGS2520-16S,1.0,,E-CGS2520-16S-009018,9018.0,LAN,FED1,E-UNET-LAN-FED1-009018,,2021-04-26 15:39:47,,,B3B22A0E43E342629C28372A3B670A32,Version 15.2(3)E1,FED1
5390,E.BOT-PE1,3HE06791AA,E.BOT,7705SAR-8,1.0,,E-7705SAR-8-008597,8597.0,WPR,PE1,E-E.BOT-WPR-PE1-008597,,2021-09-20 16:56:45,,,85DDBBCEDCE54838AD0E881BB560F55A,TiMOS-B-8.0.R7,PE1
5391,E.BOT-PE2,3HE06791AA,E.BOT,7705SAR-8,21.0,,E-7705SAR-8-008598,8598.0,WPR,PE2,E-E.BOT-WPR-PE2-008598,,2021-09-20 16:56:45,,,B04DF15ECD1A49BA9AFD68505C806209,TiMOS-B-8.0.R7,PE2
5392,E.BOT-FED1,CGS-2520-16S-8PC,E.BOT,CGS2520-16S,41.0,,E-CGS2520-16S-008903,8903.0,LAN,FED1,E-E.BOT-LAN-FED1-008903,,2021-09-20 16:56:45,,,AA8507C24DA2479D8721501DD4A8001A,Version 15.2(3)E1,FED1
5393,E.BOT-FED2,CGS-2520-16S-8PC,E.BOT,CGS2520-16S,55.0,,E-CGS2520-16S-008904,8904.0,LAN,FED2,E-E.BOT-LAN-FED2-008904,,2021-09-20 16:56:45,,,03F95C500707426D9726C53E81E89A90,Version 15.2(3)E1,FED2
5394,SARR5-PE1,3HE06791AA,SARR5,7705SAR-8,1.0,,E-7705SAR-8-008633,8633.0,WPR,PE1,E-SARR5-WPR-PE1-008633,,2022-03-28 20:05:08,,,171ECF7BF9084521B381EB3D9BC72DD2,TiMOS-B-8.0.R7,PE1
